id,col1,col2,col3,col4,className,classId,cluster_label
1,,,0.145,,Iris-setosa,1,0
2,,,0.159,,Iris-setosa,1,0
3,,,0.174,,Iris-setosa,1,0
4,,,0.174,,Iris-setosa,1,0
5,,,0.188,,Iris-setosa,1,0
6,,,0.188,,Iris-setosa,1,0
7,,,0.188,,Iris-setosa,1,0
8,,,0.188,,Iris-setosa,1,0
9,,,0.188,,Iris-setosa,1,0
10,,,0.188,,Iris-setosa,1,0
11,,,0.188,,Iris-setosa,1,0
12,,,0.203,,Iris-setosa,1,0
13,,,0.203,,Iris-setosa,1,0
14,,,0.203,,Iris-setosa,1,0
15,,,0.203,,Iris-setosa,1,0
16,,,0.203,,Iris-setosa,1,0
17,,,0.203,,Iris-setosa,1,0
18,,,0.203,,Iris-setosa,1,0
19,,,0.203,,Iris-setosa,1,0
20,,,0.203,,Iris-setosa,1,0
21,,,0.203,,Iris-setosa,1,0
22,,,0.203,,Iris-setosa,1,0
23,,,0.203,,Iris-setosa,1,0
24,,,0.217,,Iris-setosa,1,0
25,,,0.217,,Iris-setosa,1,0
26,,,0.217,,Iris-setosa,1,0
27,,,0.217,,Iris-setosa,1,0
28,,,0.217,,Iris-setosa,1,0
29,,,0.217,,Iris-setosa,1,0
30,,,0.217,,Iris-setosa,1,0
31,,,0.217,,Iris-setosa,1,0
32,,,0.217,,Iris-setosa,1,0
33,,,0.217,,Iris-setosa,1,0
34,,,0.217,,Iris-setosa,1,0
35,,,0.217,,Iris-setosa,1,0
36,,,0.217,,Iris-setosa,1,0
37,,,0.217,,Iris-setosa,1,0
38,,,0.232,,Iris-setosa,1,0
39,,,0.232,,Iris-setosa,1,0
40,,,0.232,,Iris-setosa,1,0
41,,,0.232,,Iris-setosa,1,0
42,,,0.232,,Iris-setosa,1,0
43,,,0.232,,Iris-setosa,1,0
44,,,0.232,,Iris-setosa,1,0
45,,,0.246,,Iris-setosa,1,0
46,,,0.246,,Iris-setosa,1,0
47,,,0.246,,Iris-setosa,1,0
48,,,0.246,,Iris-setosa,1,0
49,,,0.275,,Iris-setosa,1,0
50,,,0.275,,Iris-setosa,1,0
51,,,0.435,,Iris-versicolor,2,2
52,,,0.478,,Iris-versicolor,2,2
53,,,0.478,,Iris-versicolor,2,2
54,,,0.507,,Iris-versicolor,2,2
55,,,0.507,,Iris-versicolor,2,2
56,,,0.522,,Iris-versicolor,2,2
57,,,0.536,,Iris-versicolor,2,2
58,,,0.551,,Iris-versicolor,2,2
59,,,0.565,,Iris-versicolor,2,2
60,,,0.565,,Iris-versicolor,2,2
61,,,0.565,,Iris-versicolor,2,2
62,,,0.58,,Iris-versicolor,2,2
63,,,0.58,,Iris-versicolor,2,2
64,,,0.58,,Iris-versicolor,2,2
65,,,0.58,,Iris-versicolor,2,2
66,,,0.58,,Iris-versicolor,2,2
67,,,0.594,,Iris-versicolor,2,2
68,,,0.594,,Iris-versicolor,2,2
69,,,0.594,,Iris-versicolor,2,2
70,,,0.609,,Iris-versicolor,2,2
71,,,0.609,,Iris-versicolor,2,2
72,,,0.609,,Iris-versicolor,2,2
73,,,0.609,,Iris-versicolor,2,2
74,,,0.623,,Iris-versicolor,2,2
75,,,0.623,,Iris-versicolor,2,2
76,,,0.638,,Iris-versicolor,2,2
77,,,0.638,,Iris-versicolor,2,2
78,,,0.638,,Iris-versicolor,2,2
79,,,0.638,,Iris-versicolor,2,2
80,,,0.652,,Iris-versicolor,2,2
81,,,0.652,,Iris-versicolor,2,2
82,,,0.652,,Iris-versicolor,2,2
83,,,0.652,,Iris-versicolor,2,2
84,,,0.652,,Iris-versicolor,2,2
85,,,0.652,,Iris-versicolor,2,2
86,,,0.71,,Iris-versicolor,2,1
87,,,0.652,,Iris-versicolor,2,2
88,,,0.652,,Iris-versicolor,2,2
89,,,0.667,,Iris-versicolor,2,2
90,,,0.667,,Iris-versicolor,2,2
91,,,0.667,,Iris-versicolor,2,2
92,,,0.681,,Iris-versicolor,2,2
93,,,0.681,,Iris-versicolor,2,2
94,,,0.681,,Iris-versicolor,2,2
95,,,0.681,,Iris-versicolor,2,2
96,,,0.681,,Iris-versicolor,2,2
97,,,0.71,,Iris-versicolor,2,1
98,,,0.71,,Iris-versicolor,2,1
99,,,0.696,,Iris-versicolor,2,0
100,,,0.696,,Iris-versicolor,2,0
101,,,0.696,,Iris-virginica,3,0
102,,,0.71,,Iris-virginica,3,1
103,,,0.696,,Iris-virginica,3,0
104,,,0.725,,Iris-virginica,3,1
105,,,0.71,,Iris-virginica,3,1
106,,,0.725,,Iris-virginica,3,1
107,,,0.725,,Iris-virginica,3,1
108,,,0.725,,Iris-virginica,3,1
109,,,0.739,,Iris-virginica,3,1
110,,,0.739,,Iris-virginica,3,1
111,,,0.739,,Iris-virginica,3,1
112,,,0.739,,Iris-virginica,3,1
113,,,0.739,,Iris-virginica,3,1
114,,,0.739,,Iris-virginica,3,1
115,,,0.739,,Iris-virginica,3,1
116,,,0.739,,Iris-virginica,3,1
117,,,0.754,,Iris-virginica,3,1
118,,,0.754,,Iris-virginica,3,1
119,,,0.768,,Iris-virginica,3,1
120,,,0.768,,Iris-virginica,3,1
121,,,0.783,,Iris-virginica,3,1
122,,,0.783,,Iris-virginica,3,1
123,,,0.797,,Iris-virginica,3,1
124,,,0.797,,Iris-virginica,3,1
125,,,0.797,,Iris-virginica,3,1
126,,,0.812,,Iris-virginica,3,1
127,,,0.812,,Iris-virginica,3,1
128,,,0.812,,Iris-virginica,3,1
129,,,0.812,,Iris-virginica,3,1
130,,,0.812,,Iris-virginica,3,1
131,,,0.812,,Iris-virginica,3,1
132,,,0.826,,Iris-virginica,3,1
133,,,0.826,,Iris-virginica,3,1
134,,,0.826,,Iris-virginica,3,1
135,,,0.841,,Iris-virginica,3,1
136,,,0.841,,Iris-virginica,3,1
137,,,0.841,,Iris-virginica,3,1
138,,,0.855,,Iris-virginica,3,1
139,,,0.855,,Iris-virginica,3,1
140,,,0.87,,Iris-virginica,3,1
141,,,0.87,,Iris-virginica,3,1
142,,,0.884,,Iris-virginica,3,1
143,,,0.884,,Iris-virginica,3,1
144,,,0.884,,Iris-virginica,3,1
145,,,0.913,,Iris-virginica,3,1
146,,,0.928,,Iris-virginica,3,1
147,,,0.957,,Iris-virginica,3,1
148,,,0.971,,Iris-virginica,3,1
149,,,0.971,,Iris-virginica,3,1
150,,,1.0,,Iris-virginica,3,0
